JobIDRaw|JobName|Account|Partition|State|ExitCode|Elapsed|AllocCPUS|ReqMem|MaxRSS|Start|End
18292741|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|01:14:56|4|8G||2026-08-07T05:24:43|2026-08-07T06:39:39
18290240|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:37:17|4|8G||2026-08-07T05:59:45|2026-08-07T06:37:02
18420304|step13_prepare|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:19|2|4G||2026-08-11T16:10:33|2026-08-11T16:10:52
18420306|step13_summarise|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:03|2|4G||2026-08-11T17:10:40|2026-08-11T17:10:43
18420307|step13_archive|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:12|2|2G||2026-08-11T17:15:40|2026-08-11T17:15:52
18420327|step13_salmon|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:05:02|8|12G||2026-08-11T16:15:34|2026-08-11T16:20:36
18420328|step13_salmon|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:13:16|8|12G||2026-08-11T16:15:34|2026-08-11T16:28:50
18420371|step13_salmon|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:47|8|12G||2026-08-11T16:25:35|2026-08-11T16:28:22
18420429|step13_salmon|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:07:33|8|12G||2026-08-11T16:30:35|2026-08-11T16:38:08
18420430|step13_salmon|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:05:45|8|12G||2026-08-11T16:30:35|2026-08-11T16:36:20
18420305|step13_salmon|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:26:04|8|12G||2026-08-11T16:40:36|2026-08-11T17:06:40
18425476|step14_prioritise|YOUR_SLURM_ACCOUNT|compute|FAILED|0:53|00:00:16|4|8G||2026-08-12T11:26:48|2026-08-12T11:27:04
18425499|step14_prioritise|YOUR_SLURM_ACCOUNT|compute|FAILED|0:53|00:00:01|4|8G||2026-08-12T11:31:49|2026-08-12T11:31:50
18427295|step14_prioritise|YOUR_SLURM_ACCOUNT|compute|CANCELLED by USER_ID|0:0|00:00:00|0|8G||None|2026-08-12T14:50:45
18427340|step14_prioritise|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:18|4|8G||2026-08-12T14:57:05|2026-08-12T14:57:23
18427341|step14_archive|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:04|2|2G||2026-08-12T15:02:06|2026-08-12T15:02:10
18428504|step15_sensitivity|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:14|4|8G||2026-08-12T16:17:12|2026-08-12T16:17:26
18428505|step15_archive|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:19|2|2G||2026-08-12T16:22:12|2026-08-12T16:22:31
18431248|step15_sensitivity|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:18|4|8G||2026-08-12T20:07:26|2026-08-12T20:07:44
18431249|step15_archive|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:14|2|2G||2026-08-12T20:12:26|2026-08-12T20:12:40
18451973|step16_stats_viz|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:32|4|8G||2026-08-13T20:27:13|2026-08-13T20:27:45
18451974|step16_archive|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:17|2|2G||2026-08-13T20:32:14|2026-08-13T20:32:31
18573117|step17_repro_archive|YOUR_SLURM_ACCOUNT|compute|FAILED|1:0|00:00:49|2|4G||2026-08-16T13:57:26|2026-08-16T13:58:15
18573222|step17_repro_archive|YOUR_SLURM_ACCOUNT|compute|RUNNING|0:0|00:00:22|2|4G||2026-08-16T14:02:26|Unknown
